"Story","Title","Result","Date","Stability","Duration (s)"
"register","register Sucessfull","SUCCESS","2022-08-03T19:56:49.184-05:00[America/Bogota]","0.0","42.07"
"shopping","make purcharses","SUCCESS","2022-08-03T19:57:31.261-05:00[America/Bogota]","0.0","65.84"
